"","PARSE_ionocyte II","Multiome_ionocyte II","multi_to_parse_ratio"
"RPS20",0,2.08855752752881,Inf
"RPL18",0,2.06641072964654,Inf
"RPL31",0,1.94766177240451,Inf
"ACTB",0,2.42092165460318,Inf
"FTL",0,1.65707632451994,Inf
"RPLP0",0,1.3426831996494,Inf
"LGALS1",0,1.3878271992683,Inf
"CST3",0,2.08855752752881,Inf
"WFDC2",0,1.47242598276259,Inf
"RPS16",0,2.17254331137148,Inf
"RPS19",0,2.48186494692418,Inf
"RPL18A",0,2.08855752752881,Inf
"CHCHD2",0,1.3426831996494,Inf
"RPL28",0,2.38899815837196,Inf
"RPL19",0,2.37264592801253,Inf
"PFN1",0,1.3426831996494,Inf
"LGALS3BP",0,1.65707632451994,Inf
"CCL2",0,1.47242598276259,Inf
"RPS13",0,1.89591061036191,Inf
"GAPDH",0,2.04376232107081,Inf
"TPI1",0,1.3426831996494,Inf
"RPS12",0,1.99686601721849,Inf
"RPL24",0,2.06641072964654,Inf
"RPS15",0,1.81288710807459,Inf
"RPL22",0,1.5121845893843,Inf
"ID3",0,1.43102094363254,Inf
"CCN2",0,1.3426831996494,Inf
"RPL21",0,2.02058905187126,Inf
"RPL5",0,2.08855752752881,Inf
"PFDN5",0,1.43102094363254,Inf
"MT2A",0,1.3426831996494,Inf
"IFI6",0,2.21203113934286,Inf
"COX7C",0,1.47242598276259,Inf
"KLF2",0,1.3426831996494,Inf
"GADD45G",0,1.47242598276259,Inf
"RPL36",0,1.78360681190727,Inf
"BST2",0,1.47242598276259,Inf
"CCL25",0,2.15219884068137,Inf
"COX4I1",0,1.43102094363254,Inf
"RPS15A",0,2.52525250048402,Inf
"COX5B",0,1.65707632451994,Inf
"ATP6V1G1",0,1.58725236654505,Inf
"CTSV",0,2.02058905187126,Inf
"RPLP1",0,3.06863219902424,Inf
"RPS24",0,2.49653762645311,Inf
"ARHGAP24",0,1.55042270903134,Inf
"RPS2",0,2.61971943389054,Inf
"IFITM3",0,1.92212092687885,Inf
"RPL13A",0,3.09299293081567,Inf
"RPS8",0,2.46697376994937,Inf
"TMEM61",0,1.3426831996494,Inf
"RPL32",0,1.94766177240451,Inf
"PNRC1",0,1.75344325279041,Inf
"RPL10",0,2.68211873547471,Inf
"SNTG1",0,1.3426831996494,Inf
"RPL7",0,2.25001873225886,Inf
"RPL7A",0,2.08855752752881,Inf
"BTG2",0,2.37264592801253,Inf
"CSTB",0,1.86899477993491,Inf
"IER2",0,1.47242598276259,Inf
"RPL26",0,2.32192091479883,Inf
"RPL29",0,1.65707632451994,Inf
"RPL9",0,2.11022445319899,Inf
"RPS14",0,2.56683559406937,Inf
"CLDN3",0,1.5121845893843,Inf
"FOXI1",0,1.3878271992683,Inf
"UBB",0,2.06641072964654,Inf
"KRT19",0,1.55042270903134,Inf
"TBCA",0,1.47242598276259,Inf
"RPS21",0,1.72234148017201,Inf
"SAA1",0,1.62277364491228,Inf
"RPL4",0,1.3426831996494,Inf
"RPL15",0,2.4050872897801,Inf
"RPLP2",0,2.21203113934286,Inf
"RPS27",0,2.37264592801253,Inf
"RPS17",0,1.99686601721849,Inf
"RPL35A",0,1.78360681190727,Inf
"CALN1",0,1.3426831996494,Inf
"ACTG1",0,2.15219884068137,Inf
"CLDN5",0,1.3426831996494,Inf
"SOCS3",0,1.3426831996494,Inf
"KRT5",0,1.84133440125437,Inf
"RPS23",0,2.42092165460318,Inf
"ISG15",0,1.72234148017201,Inf
"NKAIN2",0,1.55042270903134,Inf
"HLA-DRB1",0,1.3426831996494,Inf
"PSAP",0,1.58725236654505,Inf
"RPL37A",0,2.42092165460318,Inf
"S100A6",0,1.69024125044222,Inf
"RPS4X",0,2.38899815837196,Inf
"RPL39",0,1.43102094363254,Inf
"RPS29",0,1.81288710807459,Inf
"CEBPD",0,2.63251467877096,Inf
"UBA52",0,2.17254331137148,Inf
"RPL41",0,2.63251467877096,Inf
"RPS18",0,2.51099812792658,Inf
"PSMB9",0,1.3426831996494,Inf
"MIF",0,1.43102094363254,Inf
"RPL36A",0,1.3878271992683,Inf
"PEG10",0,1.3426831996494,Inf
"H3F3A",0,2.52525250048402,Inf
"MTRNR2L12",0,2.06641072964654,Inf
"FAM160A1",0,1.47242598276259,Inf
"AC083837.1",0,1.75344325279041,Inf
"FAM189A2",0,2.9370424708682,Inf
"AC084816.1",0,3.05205564488924,Inf
"AC013652.1",0,2.06641072964654,Inf
"LINC01578",0,1.86899477993491,Inf
"H3F3B",0,2.60675834643022,Inf
"EEF1A1",0.292331530134579,3.17755784227687,10.8697061887715
"RPL13",0.292331530134579,2.99177314594515,10.2341787920305
"RPS11",0.292331530134579,2.65762424590003,9.09113103426289
"HLA-C",0.292331530134579,2.55316579426179,8.73380231371689
"RPL3",0.292331530134579,2.49653762645311,8.54009016852817
"JUNB",0.292331530134579,2.49653762645311,8.54009016852817
"MT-ND3",0.518254414932672,4.30448963771216,8.30574620048605
"IGFBP5",0.292331530134579,2.42092165460318,8.28142504330162
"RPL11",0.292331530134579,2.4050872897801,8.22725926509837
"RPS9",0.292331530134579,2.4050872897801,8.22725926509837
"MT-CYB",0.518254414932672,4.15813320235052,8.02334352113664
"RPS3A",0.292331530134579,2.30442421702256,7.88291367667963
"EGR1",0.292331530134579,2.21203113934286,7.56685786964039
"PRSS16",0.292331530134579,2.19248212376478,7.49998511195642
"MT-ND4L",0.292331530134579,2.19248212376478,7.49998511195642
"TBATA",0.292331530134579,2.15219884068137,7.36218511800823
"RPS6",0.292331530134579,2.13143186192539,7.29114598395922
"RPS28",0.292331530134579,2.11022445319899,7.21860023866572
"RPL8",0.292331530134579,2.08855752752881,7.14448258991191
"ROBO2",0.292331530134579,2.06641072964654,7.06872340693196
"MT-CO3",0.702424578474692,4.93650251081047,7.02780435378563
"RPL30",0.292331530134579,2.04376232107081,6.9912483273013
"RPL27A",0.292331530134579,2.04376232107081,6.9912483273013
"RPL10A",0.292331530134579,2.04376232107081,6.9912483273013
"MT-ATP6",0.702424578474692,4.88705544121489,6.95740950840173
"RPS7",0.292331530134579,1.97256649650113,6.74770352549051
"RPS25",0.292331530134579,1.94766177240451,6.66251010114397
"HSPA1A",0.292331530134579,1.92212092687885,6.5751406493647
"RPSA",0.292331530134579,1.89591061036191,6.48548108884834
"CD63",0.292331530134579,1.86899477993491,6.39340812492751
"RPS3",0.292331530134579,1.86899477993491,6.39340812492751
"SLC25A6",0.292331530134579,1.75344325279041,5.99813250381576
"FAU",0.292331530134579,1.72234148017201,5.89174037907954
"KRT18",0.292331530134579,1.69024125044222,5.78193275855019
"RPL37",0.292331530134579,1.69024125044222,5.78193275855019
"ATP6V0B",0.292331530134579,1.65707632451994,5.66848305332333
"OSMR",0.292331530134579,1.62277364491228,5.55114135025123
"GPC6",0.292331530134579,1.62277364491228,5.55114135025123
"ATP6V0C",0.292331530134579,1.58725236654505,5.42963109663313
"MT-ND1",0.702424578474692,3.73404601405579,5.31593871923479
"CYBA",0.292331530134579,1.55042270903134,5.30364517408566
"SRP14",0.292331530134579,1.55042270903134,5.30364517408566
"ZFP36L2",0.292331530134579,1.5121845893843,5.17284122136309
"NACA",0.292331530134579,1.5121845893843,5.17284122136309
"RPS5",0.292331530134579,1.47242598276259,5.03683602683822
"MAF",0.292331530134579,1.47242598276259,5.03683602683822
"IFI27",0.518254414932672,2.60675834643022,5.02988160123801
"MT-CO2",0.992412614057432,4.92885580178373,4.96653884882855
"CYP1B1",0.292331530134579,1.43102094363254,4.89519875934612
"NOVA1",0.292331530134579,1.43102094363254,4.89519875934612
"ENOX2",0.292331530134579,1.43102094363254,4.89519875934612
"MT-ATP8",0.292331530134579,1.43102094363254,4.89519875934612
"MYL6",0.292331530134579,1.3878271992683,4.74744273609281
"RPL35",0.292331530134579,1.3878271992683,4.74744273609281
"RPS27A",0.518254414932672,2.38899815837196,4.60970150863514
"CKB",0.292331530134579,1.3426831996494,4.59301533102253
"RPL23",0.518254414932672,2.32192091479883,4.48027232937413
"FTH1",0.702424578474692,2.86915743159845,4.08464840143948
"B2M",0.857893602566289,3.44164145115889,4.01173460305989
"CLIC4",0.518254414932672,2.06641072964654,3.98725157009032
"MT-ND2",0.857893602566289,3.3404580706523,3.89379062935043
"RPL6",0.518254414932672,1.97256649650113,3.80617403280085
"RPL23A",0.518254414932672,1.94766177240451,3.75811901700351
"HLA-B",0.702424578474692,2.63251467877096,3.74775422079825
"SNX29",0.518254414932672,1.92212092687885,3.70883657041023
"HLA-A",0.702424578474692,2.59362706081467,3.69239223725159
"SOX4",0.518254414932672,1.89591061036191,3.65826234323197
"RPL17",0.518254414932672,1.89591061036191,3.65826234323197
"GADD45B",0.702424578474692,2.55316579426179,3.63478994400504
"TPT1",0.702424578474692,2.53930653820739,3.61505934732733
"PLOD2",0.518254414932672,1.86899477993491,3.60632678870225
"RPL12",0.702424578474692,2.46697376994937,3.51208349700174
"DUSP1",0.518254414932672,1.78360681190727,3.44156607356443
"SAT1",0.518254414932672,1.69024125044222,3.26141215924192
"PTPRT",0.518254414932672,1.69024125044222,3.26141215924192
"MARCKS",0.518254414932672,1.69024125044222,3.26141215924192
"CALM2",0.702424578474692,2.21203113934286,3.14913687124426
"HLA-E",0.518254414932672,1.62277364491228,3.13122975541481
"ASCL1",0.518254414932672,1.58725236654505,3.06268952238691
"HNRNPA1",0.518254414932672,1.55042270903134,2.99162470083879
"RPL14",0.702424578474692,2.04376232107081,2.90958258537709
"UBC",0.702424578474692,2.02058905187126,2.87659218340416
"NUCKS1",0.518254414932672,1.47242598276259,2.84112578752248
"NCKAP5",0.518254414932672,1.47242598276259,2.84112578752248
"HMGB1",0.518254414932672,1.47242598276259,2.84112578752248
"HSPA8",0.518254414932672,1.43102094363254,2.7612325190099
"ATP5F1E",0.518254414932672,1.43102094363254,2.7612325190099
"DIAPH2",0.518254414932672,1.43102094363254,2.7612325190099
"HSP90AB1",0.857893602566289,2.35602185075409,2.7462867699518
"RACK1",0.702424578474692,1.89591061036191,2.69909491845924
"PLCG2",1.21693719517511,3.26907106475689,2.68631041742997
"CD9",0.518254414932672,1.3878271992683,2.67788784674145
"WSB1",0.518254414932672,1.3878271992683,2.67788784674145
"SUB1",0.518254414932672,1.3878271992683,2.67788784674145
"STAU1",0.518254414932672,1.3878271992683,2.67788784674145
"HSPD1",0.702424578474692,1.86899477993491,2.66077645516535
"TMSB10",0.702424578474692,1.84133440125437,2.62139802290633
"CD74",1.11096312394359,2.88902791809745,2.60047147905526
"MLLT10",0.518254414932672,1.3426831996494,2.59078005119132
"PDZRN3",0.518254414932672,1.3426831996494,2.59078005119132
"GAS6",0.518254414932672,1.3426831996494,2.59078005119132
"TSC22D2",0.518254414932672,1.3426831996494,2.59078005119132
"MT-ND4",1.68900879961639,4.16089445197913,2.46351259562659
"BTG1",0.702424578474692,1.72234148017201,2.45199489447259
"PRKG1",0.857893602566289,2.08855752752881,2.43451812821676
"PABPC1",0.702424578474692,1.69024125044222,2.40629571093962
"EIF1",0.857893602566289,2.04376232107081,2.3823027878482
"MFHAS1",0.702424578474692,1.65707632451994,2.35908078290521
"FOXO1",0.702424578474692,1.65707632451994,2.35908078290521
"EEF2",0.702424578474692,1.65707632451994,2.35908078290521
"RPL34",0.857893602566289,1.94766177240451,2.27028359528303
"MT-CO1",2.00840110759203,4.54531632990135,2.26315167459301
"CD2AP",0.702424578474692,1.58725236654505,2.25967657622653
"TSC22D1",0.857893602566289,1.92212092687885,2.24051201819089
"ATL2",0.702424578474692,1.55042270903134,2.20724438828446
"CLU",0.702424578474692,1.55042270903134,2.20724438828446
"HLA-DRA",0.702424578474692,1.55042270903134,2.20724438828446
"KLF6",1.11096312394359,2.43650919553972,2.19315037828693
"MTSS1",0.702424578474692,1.5121845893843,2.15280705676329
"NFKBIA",0.857893602566289,1.81288710807459,2.11318408559237
"TAX1BP1",0.702424578474692,1.47242598276259,2.09620509857436
"PTGES3",0.702424578474692,1.47242598276259,2.09620509857436
"ETNK1",0.992412614057432,2.06641072964654,2.08220925487647
"RB1CC1",0.702424578474692,1.43102094363254,2.03725921256912
"ATP6V1D",0.702424578474692,1.43102094363254,2.03725921256912
"SOBP",0.702424578474692,1.43102094363254,2.03725921256912
"CCNI",0.702424578474692,1.43102094363254,2.03725921256912
"CGA",0.992412614057432,1.99686601721849,2.01213284568643
"RGS16",0.857893602566289,1.72234148017201,2.00763996260122
"CSMD2",0.702424578474692,1.3878271992683,1.97576685354883
"SON",0.702424578474692,1.3878271992683,1.97576685354883
"SQSTM1",0.702424578474692,1.3878271992683,1.97576685354883
"PJA2",0.702424578474692,1.3878271992683,1.97576685354883
"HSPA5",0.857893602566289,1.69024125044222,1.97022246743193
"RHOB",0.857893602566289,1.69024125044222,1.97022246743193
"ANKRD33B",0.857893602566289,1.69024125044222,1.97022246743193
"PTMA",1.48057456577956,2.88902791809745,1.95128836120206
"FXYD2",0.857893602566289,1.65707632451994,1.93156391371027
"PPIA",0.857893602566289,1.65707632451994,1.93156391371027
"HSPB1",1.11096312394359,2.13143186192539,1.91854420366306
"ZFAND5",0.702424578474692,1.3426831996494,1.91149803237953
"CPE",0.702424578474692,1.3426831996494,1.91149803237953
"SRSF11",0.702424578474692,1.3426831996494,1.91149803237953
"CAST",0.992412614057432,1.89591061036191,1.91040559491739
"KRT8",0.857893602566289,1.62277364491228,1.89157914228284
"SMS",0.857893602566289,1.55042270903134,1.80724358404519
"DLGAP2",0.857893602566289,1.55042270903134,1.80724358404519
"JUN",1.55498541969833,2.79632620421027,1.79829737873218
"HIVEP2",1.11096312394359,1.99686601721849,1.79741881092344
"FOS",1.68900879961639,2.99177314594515,1.77131886265166
"MT-ND5",1.86140255050977,3.29562333550599,1.77050543666841
"GTF2I",0.992412614057432,1.75344325279041,1.7668490181937
"RHEB",0.857893602566289,1.5121845893843,1.76267148380728
"CALM1",1.11096312394359,1.94766177240451,1.75312909171177
"LIFR",0.857893602566289,1.47242598276259,1.71632703444576
"SORBS2",0.857893602566289,1.47242598276259,1.71632703444576
"FOSB",0.992412614057432,1.69024125044222,1.70316381160428
"IRF1",1.31274909514069,2.19248212376478,1.67014559894235
"SPATS2L",0.992412614057432,1.65707632451994,1.66974532673971
"ZFAND6",0.857893602566289,1.43102094363254,1.66806342808923
"EIF4A2",0.857893602566289,1.43102094363254,1.66806342808923
"AKAP13",1.21693719517511,2.02058905187126,1.66038893369556
"CIRBP",0.992412614057432,1.62277364491228,1.635180389614
"SLC38A1",0.857893602566289,1.3878271992683,1.61771482514473
"TRA2B",0.857893602566289,1.3878271992683,1.61771482514473
"PCSK6",0.857893602566289,1.3426831996494,1.56509291552346
"IFI16",0.857893602566289,1.3426831996494,1.56509291552346
"RNF150",0.857893602566289,1.3426831996494,1.56509291552346
"TUBA1A",1.11096312394359,1.72234148017201,1.55031381605017
"RAB2A",0.992412614057432,1.5121845893843,1.52374583712898
"RBM39",1.11096312394359,1.69024125044222,1.52141976093893
"ITM2B",1.31274909514069,1.99686601721849,1.52113303647296
"SOD2",1.21693719517511,1.84133440125437,1.51308909659008
"DDX5",1.40017838006192,2.11022445319899,1.50711115329867
"APBB2",1.31274909514069,1.97256649650113,1.50262262895693
"ROBO1",1.55498541969833,2.32192091479883,1.49321073071494
"ATP2C1",1.11096312394359,1.65707632451994,1.49156735161272
"CD24",1.11096312394359,1.65707632451994,1.49156735161272
"ATP6V1A",0.992412614057432,1.47242598276259,1.48368326027482
"PATJ",0.992412614057432,1.47242598276259,1.48368326027482
"DGKI",1.31274909514069,1.94766177240451,1.48365120159978
"DNAJA1",1.21693719517511,1.78360681190727,1.46565231055381
"CSNK1A1",1.21693719517511,1.78360681190727,1.46565231055381
"SLCO5A1",1.21693719517511,1.78360681190727,1.46565231055381
"HERC2",1.11096312394359,1.62277364491228,1.46069082756942
"NFKB1",1.31274909514069,1.89591061036191,1.44422922657488
"ATP11B",0.992412614057432,1.43102094363254,1.44196166328628
"NCALD",0.992412614057432,1.43102094363254,1.44196166328628
"TOP1",1.11096312394359,1.58725236654505,1.42871741855011
"LHFPL6",1.40017838006192,1.99686601721849,1.42615115734766
"CCNL1",1.31274909514069,1.86899477993491,1.4237258184776
"OXCT1",1.31274909514069,1.84133440125437,1.40265524316132
"KTN1",0.992412614057432,1.3878271992683,1.39843768570639
"B4GALT5",0.992412614057432,1.3878271992683,1.39843768570639
"TAOK1",0.992412614057432,1.3878271992683,1.39843768570639
"PRPF40A",0.992412614057432,1.3878271992683,1.39843768570639
"NAP1L1",1.11096312394359,1.55042270903134,1.39556631144317
"ANKRD28",1.31274909514069,1.81288710807459,1.38098522770667
"ATF3",1.62424071453014,2.21203113934286,1.36188627680273
"STK39",1.21693719517511,1.65707632451994,1.36167776865552
"MYO1E",1.11096312394359,1.5121845893843,1.36114741956194
"DSG3",0.992412614057432,1.3426831996494,1.35294854240103
"ARHGEF12",1.31274909514069,1.75344325279041,1.33570326521725
"AFF4",1.21693719517511,1.62277364491228,1.33349005301689
"VAPA",1.21693719517511,1.62277364491228,1.33349005301689
"ZMYM2",1.21693719517511,1.62277364491228,1.33349005301689
"USP53",1.11096312394359,1.47242598276259,1.32535990711907
"DSP",1.62424071453014,2.15219884068137,1.32504918847818
"IL6ST",1.48057456577956,1.94766177240451,1.31547698942067
"APLP2",1.40017838006192,1.84133440125437,1.31507129911043
"HSP90AA1",2.50185000207562,3.28905107076066,1.31464758799766
"PHIP",1.21693719517511,1.58725236654505,1.3043009720125
"SETBP1",1.21693719517511,1.58725236654505,1.3043009720125
"ETS2",1.21693719517511,1.58725236654505,1.3043009720125
"PRKDC",1.48057456577956,1.92212092687885,1.29822635840486
"REV3L",1.11096312394359,1.43102094363254,1.28809040803518
"UBR5",1.11096312394359,1.43102094363254,1.28809040803518
"MAGI1",1.74983593410301,2.25001873225886,1.28584554037762
"PKN2",1.21693719517511,1.55042270903134,1.27403674994768
"PTPRG",1.55498541969833,1.97256649650113,1.26854340337404
"FOXP1",2.05296163370084,2.59362706081467,1.26335875850694
"DYRK1A",1.40017838006192,1.75344325279041,1.25229990532554
"EIF5",1.21693719517511,1.5121845893843,1.24261514511988
"STAT1",1.21693719517511,1.5121845893843,1.24261514511988
"SLC38A2",1.21693719517511,1.5121845893843,1.24261514511988
"NRIP1",1.31274909514069,1.62277364491228,1.23616435990638
"PBX1",1.48057456577956,1.81288710807459,1.22444836617875
"RNF19A",1.55498541969833,1.89591061036191,1.2192465513469
"FARP1",1.21693719517511,1.47242598276259,1.20994410278562
"UBL3",1.11096312394359,1.3426831996494,1.20857584802929
"USP9X",1.11096312394359,1.3426831996494,1.20857584802929
