"","PARSE_neuroendocrine I","Multiome_neuroendocrine I","multi_to_parse_ratio"
"NNAT",0,2.08007866963945,Inf
"RPL18",0,2.69084848909007,Inf
"GSTP1",0,1.73259087327275,Inf
"FTL",0,2.0405377811736,Inf
"RPLP0",0,2.5523884908371,Inf
"GADD45B",0,1.44374522708059,Inf
"RPL3",0,3.19859620508834,Inf
"RPS16",0,2.82829823723183,Inf
"RPS19",0,3.06313813305966,Inf
"EDF1",0,1.5337564778784,Inf
"PFN1",0,1.39000063005614,Inf
"MDK",0,1.79342069116167,Inf
"GAPDH",0,2.19505468374656,Inf
"EEF1B2",0,1.55270451290893,Inf
"RPL22",0,1.96267979213635,Inf
"RPS25",0,2.38756418386922,Inf
"PFDN5",0,1.55270451290893,Inf
"BST2",0,1.96267979213635,Inf
"CCL25",0,1.95643191951138,Inf
"COX4I1",0,1.77855660715615,Inf
"RPS24",0,2.91124888490039,Inf
"SRP14",0,1.74040005746658,Inf
"RPS2",0,3.39809644334597,Inf
"IFITM3",0,1.36766705704824,Inf
"UQCRB",0,1.42259272778584,Inf
"CSTB",0,1.36766705704824,Inf
"RPL26",0,2.73496615500187,Inf
"CLDN3",0,2.01130533516762,Inf
"RPL36AL",0,1.30954832679499,Inf
"IFI27",0,2.86433307115413,Inf
"BEX3",0,1.37889619081686,Inf
"RPL13",0,3.41572956767165,Inf
"FTH1",0,2.58299739960587,Inf
"HINT1",0,1.37889619081686,Inf
"KRT19",0,1.65094953831258,Inf
"RPL15",0,2.71755194935542,Inf
"MARCKSL1",0,1.30954832679499,Inf
"CALML3",0,1.50464375278309,Inf
"RPS23",0,3.0229682694574,Inf
"ISG15",0,1.48475348440564,Inf
"SUMO2",0,1.40098311373332,Inf
"TOMM7",0,1.44374522708059,Inf
"PLCG2",0,2.93978454438087,Inf
"RPL10A",0,2.47709896382458,Inf
"HLA-DRA",0,1.49474807062621,Inf
"UBA52",0,2.10199075117739,Inf
"RPL41",0,3.12928721943693,Inf
"GAS5",0,1.45415602331233,Inf
"H3F3A",0,2.95375271505652,Inf
"MTRNR2L12",0,2.07452479682027,Inf
"AC083837.1",0,1.91810203817948,Inf
"FAM189A2",0,1.64240649374413,Inf
"AC084816.1",0,2.68481628910947,Inf
"LINC01578",0,1.50464375278309,Inf
"H3F3B",0,2.53144933701853,Inf
"MT-ND3",0.13671828937995,4.03361071069096,29.5030805972219
"RPLP1",0.13671828937995,3.36799884457241,24.6345888311439
"RPS18",0.13671828937995,3.20580922695731,23.4482836312275
"RPS11",0.13671828937995,3.15984990228284,23.1121228667614
"RPL10",0.13671828937995,3.15419009715254,23.0707252954783
"RPS12",0.13671828937995,3.10772008182171,22.7308291810552
"RPS4X",0.13671828937995,3.05062637054671,22.3132280573582
"RPS9",0.13671828937995,3.00994032520878,22.0156376945585
"RPS14",0.13671828937995,2.99007453411212,21.8703331329907
"RPS8",0.13671828937995,2.89911443354828,21.2050227273648
"RPL27A",0.13671828937995,2.87439465696015,21.0242146094441
"RPS27A",0.13671828937995,2.79363318336315,20.4335001266688
"RPLP2",0.13671828937995,2.78819180742006,20.3937002142521
"RPL11",0.13671828937995,2.7492498675896,20.1088667804293
"RPL18A",0.13671828937995,2.72919504925837,19.9621796150019
"RPS27",0.13671828937995,2.68481628910947,19.637579590015
"RPL32",0.13671828937995,2.59299564989735,18.9659749376415
"RPS15",0.13671828937995,2.57964231098782,18.8683044725553
"RPL6",0.13671828937995,2.55583611625473,18.6941785758588
"RPSA",0.13671828937995,2.54197371894694,18.592784699658
"RPS28",0.13671828937995,2.52791645104193,18.4899654794296
"RPS13",0.13671828937995,2.51365875554409,18.3856802695831
"TMSB10",0.13671828937995,2.45068781557721,17.9250912711947
"RPS17",0.13671828937995,2.40772168644284,17.610823667868
"FAU",0.13671828937995,2.40372256091946,17.5815728226334
"RPL35A",0.13671828937995,2.40372256091946,17.5815728226334
"RPL14",0.13671828937995,2.39970737815471,17.5522045297521
"RPL12",0.13671828937995,2.39162832146624,17.493111801741
"RPL23A",0.13671828937995,2.36699198276852,17.3129139744463
"RPS5",0.13671828937995,2.35444240475144,17.2211224659802
"RPL37",0.13671828937995,2.32886065544155,17.0340096120533
"RPL36",0.13671828937995,2.30260726078203,16.8419841355894
"RPS7",0.13671828937995,2.25725932653789,16.5102952704799
"HES6",0.13671828937995,2.24324400754449,16.4077828776102
"RPS21",0.13671828937995,2.23852824110086,16.3732902982704
"CDKN1C",0.13671828937995,2.18013311669733,15.9461702350487
"NACA",0.13671828937995,2.13398409594732,15.6086219746125
"CEBPD",0.13671828937995,2.10739456319776,15.4141378798353
"IFI6",0.13671828937995,2.04628310736779,14.9671497255281
"RPL13A",0.256973019872752,3.8449173851189,14.962338797368
"RPL36A",0.13671828937995,2.02894714404093,14.8403491094183
"RPL39",0.13671828937995,1.98728808996829,14.5356418587529
"CST3",0.13671828937995,1.96888887110143,14.4010642616347
"SLC25A6",0.13671828937995,1.79342069116167,13.1176355357814
"RPL27",0.13671828937995,1.78601626652883,13.0634772760019
"JUNB",0.13671828937995,1.78601626652883,13.0634772760019
"BTF3",0.13671828937995,1.77104088277772,12.9539426715315
"MIF",0.13671828937995,1.73259087327275,12.6727073687834
"MT-ATP8",0.13671828937995,1.70072963020096,12.4396643485972
"ASCL1",0.13671828937995,1.68441006439099,12.320297979372
"RPS3A",0.256973019872752,3.05272256567342,11.8795450479006
"RPL19",0.256973019872752,2.98560580216128,11.6183629068908
"RPL7A",0.256973019872752,2.90398589767657,11.3007423857749
"JUND",0.13671828937995,1.5337564778784,11.2183708912272
"GABARAP",0.13671828937995,1.49474807062621,10.9330512940532
"CCL19",0.256973019872752,2.79363318336315,10.8713093100066
"PEBP1",0.13671828937995,1.47465799711853,10.7861062613236
"DYNLL1",0.13671828937995,1.44374522708059,10.5600006672722
"COX7C",0.13671828937995,1.44374522708059,10.5600006672722
"RPL8",0.256973019872752,2.6968445197059,10.4946601827745
"RPL34",0.256973019872752,2.65721183128085,10.340431196227
"RPL17",0.256973019872752,2.58634126923449,10.0646413017024
"RACK1",0.256973019872752,2.57964231098782,10.0385725795853
"RPL9",0.256973019872752,2.55583611625473,9.94593174614336
"KRT8",0.13671828937995,1.3563103964635,9.92047518012913
"PRDX2",0.13671828937995,1.34482327916833,9.83645483912525
"ATP5F1E",0.13671828937995,1.32144543934129,9.66546206315453
"EEF1G",0.256973019872752,2.45830530399301,9.56639457796124
"RPL24",0.256973019872752,2.44301185533829,9.50688074782335
"RPL23",0.256973019872752,2.42356015180146,9.43118523882998
"PPIA",0.256973019872752,2.20975686716944,8.59917849844186
"RPS3",0.36430650212248,3.10772008182171,8.53050951250081
"RPL28",0.36430650212248,3.03369671987226,8.3273197217115
"RPL35",0.256973019872752,2.05767567170208,8.00736074441204
"RPL30",0.36430650212248,2.90398589767657,7.97127111582613
"RPL4",0.256973019872752,2.04628310736779,7.96302704611198
"RPS15A",0.36430650212248,2.79904511090165,7.68321480564903
"RPS6",0.36430650212248,2.74640940041159,7.53873286480143
"RPL38",0.256973019872752,1.91810203817948,7.46421565629456
"RPL5",0.36430650212248,2.66957464732844,7.32782597009736
"CLU",0.256973019872752,1.87824421677247,7.30911057395265
"RPL21",0.36430650212248,2.62882368282991,7.21596696055154
"RPL7",0.36430650212248,2.5523884908371,7.00615683762622
"ACTG1",0.36430650212248,2.5384778841655,6.9679730374729
"PRSS16",0.256973019872752,1.74040005746658,6.77269566403664
"MT-ATP6",0.705834279123739,4.67124059127203,6.61804155654095
"CTSV",0.256973019872752,1.65094953831258,6.42460262610487
"SERF2",0.256973019872752,1.58955636382376,6.18569359775933
"RPS20",0.461228037010626,2.84131738975973,6.16033103315937
"RPL29",0.36430650212248,2.24324400754449,6.15757334682518
"CALM1",0.256973019872752,1.5620455737774,6.07863648312535
"CD24",0.256973019872752,1.55270451290893,6.04228612668288
"IER2",0.256973019872752,1.5337564778784,5.96855062308834
"ENO1",0.256973019872752,1.50464375278309,5.85525964370953
"YBX1",0.256973019872752,1.49474807062621,5.81675100119997
"EGR1",0.256973019872752,1.47465799711853,5.73857130156605
"TLE5",0.256973019872752,1.43322490491888,5.57733611734253
"RNASEK",0.256973019872752,1.40098311373332,5.4518685052114
"ATF4",0.256973019872752,1.36766705704824,5.32222043281229
"RPL37A",0.549580229329033,2.90883374564093,5.29282821762393
"PEX5L",0.256973019872752,1.3563103964635,5.27802645248566
"ATP6V0C",0.256973019872752,1.32144543934129,5.1423508973652
"CLDN4",0.36430650212248,1.857703287111,5.09928666188462
"SOD1",0.256973019872752,1.30954832679499,5.09605377032753
"SNHG29",0.256973019872752,1.30954832679499,5.09605377032753
"HLA-A",0.461228037010626,2.35022396817371,5.09557914867081
"DUSP1",0.36430650212248,1.85076146616944,5.08023177019008
"TPT1",0.630756070549787,3.10374831581968,4.92067926213433
"EEF1A1",0.775667261392769,3.81508036997355,4.91844964956144
"ACTB",0.549580229329033,2.69982910654183,4.91252953156262
"MT-ND1",0.775667261392769,3.79035246310245,4.88657012066822
"EIF1",0.461228037010626,2.19997946777613,4.76983030354126
"HSPA1A",0.549580229329033,2.51365875554409,4.57377944365456
"CFL1",0.36430650212248,1.65942021705858,4.55501125395968
"RPS29",0.461228037010626,2.03475925537191,4.41161224404282
"MYL6",0.461228037010626,1.90499182451096,4.13026024362668
"MT-CO3",1.20719219422358,4.85393870271987,4.02084997396934
"SPINT2",0.461228037010626,1.85076146616944,4.0126820523853
"TBATA",0.461228037010626,1.84377111929533,3.99752610714091
"MT-CO2",1.20719219422358,4.77108469622096,3.95221632400427
"RAC1",0.36430650212248,1.42259272778584,3.90493367397423
"UBC",0.461228037010626,1.77104088277772,3.8398378690429
"RCN1",0.36430650212248,1.39000063005614,3.81547027560003
"HSPA5",0.461228037010626,1.74814873054,3.79020482334582
"RBP1",0.461228037010626,1.74814873054,3.79020482334582
"CAMK2B",0.36430650212248,1.36766705704824,3.75416592643858
"HLA-C",0.630756070549787,2.36282626472016,3.74602223433322
"NUCKS1",0.36430650212248,1.34482327916833,3.69146109480144
"BTG1",0.36430650212248,1.34482327916833,3.69146109480144
"RPL31",0.630756070549787,2.2937006979305,3.636430634637
"UBB",0.630756070549787,2.00535488471596,3.17928749059526
"HNRNPA1",0.630756070549787,1.9933466950326,3.16024971950747
"TMSB4X",0.630756070549787,1.97505963518271,3.13125743436949
"MT-CYB",1.29118450700112,4.02335060829448,3.11601524528747
"PNRC1",0.461228037010626,1.43322490491888,3.10741062969218
"MT-ND2",1.11549290101912,3.36493865597193,3.01654869600489
"NDUFS5",0.461228037010626,1.37889619081686,2.98961919087563
"EIF4A1",0.549580229329033,1.5620455737774,2.84225212337871
"STAT1",0.461228037010626,1.30954832679499,2.83926435886814
"CD63",0.630756070549787,1.77104088277772,2.80780632239341
"NFKBIA",0.775667261392769,2.06893990614841,2.66730337752489
"ATP6V1G1",0.549580229329033,1.4644595506615,2.66468746965192
"ITM2B",0.630756070549787,1.66781974567421,2.64415964196822
"HLA-B",0.959946336302274,2.53144933701853,2.63707380432297
"EEF1D",0.549580229329033,1.43322490491888,2.60785382812744
"MT-ND4",1.50765385771854,3.81703243758836,2.53176975473965
"HLA-DRB1",0.549580229329033,1.39000063005614,2.52920421055385
"CD74",0.840940300944971,2.11811536486963,2.51874641099907
"PTMA",1.29118450700112,3.19497008948527,2.47444890498713
"EEF2",0.775667261392769,1.91810203817948,2.47284129890359
"B2M",1.36866548332262,3.34949564535812,2.44727121869601
"CCNI",0.630756070549787,1.52414610166775,2.416379600341
"SERBP1",0.705834279123739,1.70072963020096,2.40953107620721
"SOX4",1.29118450700112,3.06933579572764,2.37714732409268
"HSP90AB1",1.11549290101912,2.60944041376825,2.33927119696079
"PEG10",0.630756070549787,1.47465799711853,2.33792121228921
"HMGB1",0.840940300944971,1.94381783279619,2.31148136272207
"HLA-E",0.630756070549787,1.44374522708059,2.28891213971539
"HSPA8",0.775667261392769,1.67614930947243,2.16091279456964
"TUBA1A",1.06628417593666,2.29816389518122,2.15530151065258
"IFI16",0.630756070549787,1.33320267312357,2.11365809283692
"HSPB1",1.06628417593666,2.24324400754449,2.10379564675989
"IRF1",0.902212579505917,1.86459725119744,2.06669391843168
"MARCKS",0.840940300944971,1.73259087327275,2.06030186842731
"CALM2",0.840940300944971,1.71678713872126,2.04150893564274
"MT-CO1",2.15388393433088,4.39093990777913,2.03861491224837
"SUB1",0.705834279123739,1.43322490491888,2.03054023771438
"MBNL1",0.775667261392769,1.5620455737774,2.01380882180412
"NPM1",0.840940300944971,1.67614930947243,1.99318466196581
"JUN",1.53957923957405,3.00775240384501,1.95361974657254
"MT-ND4L",1.01452805767533,1.96267979213635,1.9345741867737
"DOCK4",0.705834279123739,1.3563103964635,1.92157059607151
"CCNL1",0.775667261392769,1.48475348440564,1.91416288698282
"BTG2",0.902212579505917,1.70879061456233,1.89399998778351
"ZFAS1",0.775667261392769,1.4644595506615,1.88799969207409
"MT-ND5",1.60052596868087,2.98784266433028,1.86678799519436
"HNRNPK",0.840940300944971,1.55270451290893,1.84639089262834
"ETNK1",1.01452805767533,1.80806706626759,1.78217551756091
"NEB",0.959946336302274,1.70072963020096,1.77169240184008
"EIF3E",0.775667261392769,1.34482327916833,1.73376310449612
"EIF4A2",0.959946336302274,1.60748522020577,1.67455737827785
"FOS",1.47467553803739,2.42748087980526,1.64611185117774
"GTF2I",1.20719219422358,1.95014476541988,1.61543851488713
"SET",0.902212579505917,1.45415602331233,1.61176651306356
"KHDRBS2",1.06628417593666,1.70879061456233,1.6025658573253
"BNC2",1.01452805767533,1.58955636382376,1.56679389179836
"DSP",1.29118450700112,1.9933466950326,1.54381243286624
"ITGB1",1.01452805767533,1.54327537322626,1.52117564571106
"DDX5",1.50765385771854,2.24324400754449,1.48790386868978
"ZFAND6",0.902212579505917,1.33320267312357,1.47770348519601
"PABPC1",1.20719219422358,1.77104088277772,1.46707449837081
"LRBA",1.33067522024201,1.94381783279619,1.46077555456594
"QKI",0.959946336302274,1.40098311373332,1.45943899231901
"EIF4G2",1.06628417593666,1.55270451290893,1.45618264619278
"FILIP1",1.01452805767533,1.47465799711853,1.45354087150387
"CNTNAP2",0.902212579505917,1.30954832679499,1.45148533343676
"WSB1",1.01452805767533,1.43322490491888,1.41270110183344
"SKP1",1.01452805767533,1.42259272778584,1.40222117764346
"NAP1L1",1.33067522024201,1.86459725119744,1.40124143204404
"ANK3",1.1623932746075,1.6250982861481,1.39806236120631
"NCL",1.06628417593666,1.48475348440564,1.39245570544211
"NAMPT",0.959946336302274,1.33320267312357,1.38883041968689
"HSP90AA1",2.35354745081381,3.24630379682049,1.37932370800427
"DNAJB1",1.01452805767533,1.39000063005614,1.37009579926371
"RBMS3",1.60052596868087,2.14442505634464,1.33982521890104
"ENAH",1.44057245042129,1.91156841590416,1.3269505572907
"GPC6",1.1623932746075,1.52414610166775,1.31121379911838
"PHIP",1.11549290101912,1.45415602331233,1.30359953163647
"DNAJA1",1.33067522024201,1.72472022542534,1.29612410240243
"NFIB",1.20719219422358,1.5620455737774,1.29394936552092
"KLF6",1.62966072005212,2.10739456319776,1.29314926552955
"EXT1",1.06628417593666,1.36766705704824,1.2826478043218
"YWHAE",1.29118450700112,1.65094953831258,1.27863177521162
"GNAQ",1.06628417593666,1.3563103964635,1.27199711584586
"ATRX",1.25006993009682,1.58955636382376,1.27157395402723
"TBCA",1.06628417593666,1.33320267312357,1.25032585422404
"ATF3",2.04630291480154,2.52791645104193,1.23535788995692
"GNAS",1.62966072005212,2.01130533516762,1.23418654595988
"ZSWIM6",1.29118450700112,1.58955636382376,1.23108382667604
"APP",1.20719219422358,1.47465799711853,1.2215602487945
"YWHAQ",1.11549290101912,1.3563103964635,1.21588438189466
"HNRNPDL",1.11549290101912,1.3563103964635,1.21588438189466
"TNRC6A",1.1623932746075,1.41184629155129,1.21460294238886
"KLHL41",1.33067522024201,1.59856097196301,1.20131565362153
"RBM39",1.47467553803739,1.77104088277772,1.20096986563888
