"","PARSE_sTEC I","Multiome_sTEC I","multi_to_parse_ratio"
"GSTP1",0,1.4599920358628,Inf
"RPL29",0,2.47947387481906,Inf
"KRT19",0,1.63969518378979,Inf
"H3F3A",0,2.3825978056298,Inf
"MTRNR2L12",0,2.12522197806064,Inf
"AC092691.1",0,1.44010947939249,Inf
"AC083837.1",0,1.73381290749476,Inf
"DDX58",0,1.6878609054419,Inf
"FAM189A2",0,1.93639530625983,Inf
"MTRNR2L8",0,1.62311023061438,Inf
"AC084816.1",0,1.79197136506086,Inf
"H3F3B",0,2.31795338177187,Inf
"RPS27",0.0287518223947411,2.92939846549441,101.885662246934
"LGALS1",0.0287518223947411,2.42847846405839,84.4634622013588
"RPL39",0.0287518223947411,2.24883946486978,78.2155452268344
"CCL25",0.0287518223947411,1.6878609054419,58.7044842677736
"CH25H",0.0287518223947411,1.55387484264139,54.0443948667967
"TOMM7",0.0287518223947411,1.53579018607018,53.415403204184
"RPS15",0.0567000291032009,2.7621772038489,48.7156223292479
"SELENOW",0.0287518223947411,1.33429591103331,46.4073509050809
"RPLP0",0.0567000291032009,2.29259212327305,40.4337027605445
"S100A6",0.0567000291032009,2.24883946486978,39.66205133293
"RPS21",0.0567000291032009,1.93639530625983,34.1515751735393
"RPL18A",0.0838883236191428,2.79896595760099,33.365381936924
"C11orf96",0.0567000291032009,1.86021345216899,32.8079805529407
"S100A11",0.0567000291032009,1.65600955773634,29.206502781898
"RPS23",0.110356938481356,3.07262188782864,27.8425799964334
"RPL36",0.0838883236191428,2.33451046257088,27.8287890597228
"GABARAP",0.0567000291032009,1.51737244167149,26.7614049881647
"RPL18",0.110356938481356,2.88305032320718,26.124776229582
"S100A4",0.0567000291032009,1.44010947939249,25.3987432135407
"PPIB",0.0567000291032009,1.35637332493167,23.9219158505704
"MIF",0.0567000291032009,1.35637332493167,23.9219158505704
"APOE",0.110356938481356,2.56126498117212,23.2089165975262
"BEX3",0.0567000291032009,1.31172006002625,23.1343807185488
"RPL41",0.136142993367496,3.11488759767403,22.879529240744
"RPL10A",0.110356938481356,2.42847846405839,22.0056708484049
"CST3",0.136142993367496,2.85904498417452,21.0003094059861
"RPS29",0.110356938481356,2.15513537227435,19.5287709312309
"FAU",0.110356938481356,2.13529286088566,19.3489679060497
"RPL10",0.185802177656385,3.53306701457093,19.0152077824666
"MT-ND3",0.209736613300837,3.9631588745234,18.8958847582745
"RPS28",0.136142993367496,2.52120541814459,18.5188040587517
"RPL37A",0.1612808081666,2.85904498417452,17.7271246137431
"RPS20",0.1612808081666,2.84927913850654,17.6665727986884
"TIMP1",0.1612808081666,2.74053098564712,16.9922944757085
"RPL36AL",0.0838883236191428,1.41982357369987,16.9251632699914
"RPS14",0.185802177656385,3.08432719164982,16.6000594317783
"GAPDH",0.110356938481356,1.80599743059175,16.3650555682718
"CCL19",0.136142993367496,2.16491090785615,15.9017431180783
"RPL36A",0.136142993367496,2.16491090785615,15.9017431180783
"RPS16",0.185802177656385,2.94735251087505,15.8628523521709
"RPL12",0.1612808081666,2.47234610848228,15.329450147152
"RPS11",0.209736613300837,3.20478016737781,15.2800224860168
"RPS5",0.1612808081666,2.30957089222474,14.3201842703999
"RPL8",0.185802177656385,2.64291888658853,14.2243698105425
"RPS18",0.233111556780863,3.27129470407755,14.0331725687574
"PLCG2",0.233111556780863,3.23526031708761,13.8785925578496
"RPS17",0.185802177656385,2.56778828916984,13.8200118080349
"UBA52",0.1612808081666,2.22163849865257,13.7749712684826
"NUPR1",0.110356938481356,1.51737244167149,13.7496786568416
"NME2",0.110356938481356,1.49860910905648,13.5796546160045
"EDF1",0.110356938481356,1.41982357369987,12.8657390576283
"PFN1",0.136142993367496,1.70341404413052,12.5119479306029
"PFDN5",0.136142993367496,1.6878609054419,12.3977067324045
"BTF3",0.136142993367496,1.6878609054419,12.3977067324045
"IFITM3",0.209736613300837,2.59346413496451,12.3653380978578
"COX4I1",0.136142993367496,1.67206203977275,12.2816606159033
"RPS13",0.209736613300837,2.56778828916984,12.2429186242591
"RPL38",0.1612808081666,1.96055194546484,12.1561391448363
"RPS19",0.233111556780863,2.82945658922701,12.1377791315891
"ISG15",0.110356938481356,1.31172006002625,11.8861584788151
"CFD",0.233111556780863,2.7621772038489,11.8491645888045
"RPS8",0.278283498764928,3.19441010863374,11.4789778151098
"RPL30",0.255952569132953,2.88778300690134,11.2824927551374
"RPS4X",0.255952569132953,2.87351722622947,11.2267567227928
"RPL35",0.209736613300837,2.34268732358749,11.1696631633278
"RPL7",0.255952569132953,2.84927913850654,11.1320591473591
"RPL37",0.233111556780863,2.58710671322051,11.0981486673032
"RPL19",0.278283498764928,3.04879204105481,10.9557054391866
"RPL13",0.321502822328543,3.50799028623606,10.9112270331837
"RPSA",0.209736613300837,2.28399339620785,10.8898172820775
"PTGDS",0.342431618902708,3.60933127673543,10.540297909116
"RPS7",0.233111556780863,2.43592468117797,10.4496092549709
"RPLP2",0.278283498764928,2.89249339776405,10.3940528655183
"RPL32",0.278283498764928,2.88305032320718,10.3601195759097
"EEF1G",0.209736613300837,2.14526333142991,10.2283683219049
"RPL28",0.300126631117829,3.02438044140087,10.0770145925954
"RPS15A",0.278283498764928,2.77810981807951,9.98302030271021
"FTL",0.278283498764928,2.75141266344988,9.88708520505577
"RPL27",0.185802177656385,1.79197136506086,9.64451217775746
"RACK1",0.255952569132953,2.44331586171012,9.54597123204088
"RPS3A",0.321502822328543,3.06474153325397,9.53254939119049
"RPS2",0.342431618902708,3.2485144533355,9.48660776053647
"RPL35A",0.278283498764928,2.61849720118364,9.40945910485173
"RPLP1",0.383019299643926,3.57430527026081,9.33191949748659
"RPL26",0.300126631117829,2.70715691987408,9.0200490032864
"RPS12",0.321502822328543,2.86389237389952,8.90782965187446
"RPL15",0.300126631117829,2.64291888658853,8.80601257124337
"RPL24",0.300126631117829,2.61849720118364,8.72464130034374
"RPL7A",0.342431618902708,2.89718170482737,8.46061387120479
"MARCKS",0.209736613300837,1.76331487747772,8.40728211315445
"RPS25",0.300126631117829,2.44331586171012,8.14094988042191
"RPS27A",0.362931365119017,2.87351722622947,7.91752243647265
"RPL22",0.233111556780863,1.79197136506086,7.68718372356546
"GPX4",0.185802177656385,1.41982357369987,7.64158736785979
"RPL27A",0.383019299643926,2.90184813419703,7.57624520982292
"CTSV",0.255952569132953,1.93639530625983,7.56544586686288
"NACA",0.255952569132953,1.93639530625983,7.56544586686288
"RPL6",0.342431618902708,2.49357877942174,7.28197585086386
"RPS24",0.402711642631884,2.92029909744239,7.25158845261351
"RPL23A",0.321502822328543,2.31795338177187,7.20974504977489
"ID3",0.185802177656385,1.33429591103331,7.18127165065259
"IFI6",0.185802177656385,1.33429591103331,7.18127165065259
"RPL11",0.422023674413758,3.02025326929613,7.15659677976982
"RPL34",0.383019299643926,2.71279718818686,7.08266447854928
"RPS3",0.362931365119017,2.5279944487488,6.96548904754976
"RPS9",0.422023674413758,2.92939846549441,6.94131311368657
"C12orf57",0.209736613300837,1.44010947939249,6.86627602461978
"BST2",0.233111556780863,1.58909160935743,6.81687185012133
"DPT",0.300126631117829,2.02970630531802,6.76283306735669
"ACTB",0.342431618902708,2.29259212327305,6.69503631300012
"RPL3",0.402711642631884,2.64893224229169,6.57773940922056
"GADD45B",0.383019299643926,2.45793632580072,6.41726494744714
"RPL13A",0.580855445620524,3.71175101359126,6.3901458470894
"TUBA1B",0.209736613300837,1.31172006002625,6.25413007000725
"PCOLCE",0.278283498764928,1.73381290749476,6.23038345855839
"SLC25A6",0.255952569132953,1.58909160935743,6.2085393975162
"PTN",0.383019299643926,2.27532008928012,5.94048417767818
"FTH1",0.530663253424833,3.12982456250446,5.89794854327104
"RPL14",0.440969806729876,2.59978139508722,5.89559955219285
"RPL9",0.477818058732812,2.81432747873982,5.88995628629755
"RPL17",0.440969806729876,2.56778828916984,5.82304785947122
"MT-CO2",0.745942432539925,4.32202360112248,5.79404443638639
"NDUFA13",0.233111556780863,1.33429591103331,5.723851401703
"IFI27",0.321502822328543,1.80599743059175,5.61736104682217
"RPL5",0.45956364733957,2.58070861593584,5.61556300389653
"CEBPD",0.547675442666679,3.02438044140087,5.5222129856232
"UBB",0.383019299643926,2.10477074020704,5.49520805391199
"MT2A",0.422023674413758,2.29259212327305,5.43237799741386
"LUM",0.383019299643926,2.07328761069858,5.41301081336112
"APOD",0.495745211578444,2.6122974379947,5.2694355426595
"SERPINF1",0.321502822328543,1.67206203977275,5.20076939811147
"CXCL14",0.362931365119017,1.88625760816986,5.19728463686595
"RPL23",0.477818058732812,2.45065281326372,5.12884092276237
"TPM2",0.255952569132953,1.31172006002625,5.12485600152301
"PPIA",0.362931365119017,1.84693251536455,5.08893056062784
"EEF1A1",0.732011293423023,3.70551783592109,5.06210473692747
"MT-ATP8",0.300126631117829,1.51737244167149,5.0557740778284
"RPL31",0.513356633465262,2.59346413496451,5.05197355191087
"ACTG1",0.362931365119017,1.83347281851397,5.05184449382794
"MT-ATP6",0.945901527474834,4.67403069868351,4.94135019652758
"RPL21",0.513356633465262,2.53473769904572,4.93757659647977
"MT-ND1",0.75968215856892,3.7483555674929,4.93411030549146
"MYL9",0.300126631117829,1.4599920358628,4.86458675934562
"MT-ND2",0.717883332488756,3.33063205180235,4.6395171764968
"SERF2",0.440969806729876,2.04078098355414,4.62793813183736
"MYL6",0.422023674413758,1.94854656699106,4.61714990207084
"HSPA5",0.362931365119017,1.67206203977275,4.60710261077719
"CCL2",0.383019299643926,1.76331487747772,4.60372330876534
"TMSB10",0.530663253424833,2.39039225961382,4.5045370000401
"MT-CO3",1.06332857288673,4.69051074633629,4.41115838127295
"TUBA1A",0.321502822328543,1.37797383644514,4.28603962623068
"CD63",0.612969799594131,2.59978139508722,4.24128790163664
"TAGLN",0.362931365119017,1.49860910905648,4.12918048172837
"IER2",0.440969806729876,1.77774576704226,4.03144555457343
"HLA-A",0.440969806729876,1.77774576704226,4.03144555457343
"MT-CYB",1.0429784300244,4.11666570446997,3.94702861148687
"TMSB4X",0.674260861247224,2.63686915156648,3.91075517373037
"DUSP1",0.530663253424833,2.07328761069858,3.90697414474781
"RPS6",0.717883332488756,2.76751633034597,3.85510598324041
"MGP",0.850911630573198,3.21163427427332,3.77434525381898
"UBC",0.597041533534283,2.23985443627465,3.75158897742921
"RPL4",0.477818058732812,1.77774576704226,3.7205495576222
"CCN2",0.564403051906023,2.09438610738669,3.71079869308613
"CD81",0.547675442666679,1.97241490295387,3.60143024370421
"ZFP36L2",0.644084831218899,2.29259212327305,3.55945678604856
"SPRY1",0.45956364733957,1.60624557133513,3.49515367595705
"MT-ND4L",0.530663253424833,1.83347281851397,3.45505894120417
"MYL12B",0.422023674413758,1.44010947939249,3.41239026789901
"ATF4",0.422023674413758,1.39911761416184,3.31525859563539
"C1R",0.717883332488756,2.31795338177187,3.22887198639366
"HSPB1",0.689014134027177,2.22163849865257,3.22437289590483
"RAB11A",0.440969806729876,1.41982357369987,3.2197750322838
"HSPA1A",1.05320526660166,3.30296326246798,3.13610591136287
"FHL2",0.422023674413758,1.31172006002625,3.10816700472642
"DEPP1",0.440969806729876,1.33429591103331,3.02582147500783
"NFKBIA",0.875518323672753,2.59346413496451,2.96220429069384
"HLA-C",0.530663253424833,1.57163824557113,2.96164890903596
"BGN",0.612969799594131,1.80599743059175,2.94630735769945
"CALM1",0.564403051906023,1.65600955773634,2.93409036705931
"SERBP1",0.495745211578444,1.41982357369987,2.86401873490452
"TPT1",1.18637691816463,3.38089433249023,2.84976408485813
"BTG2",0.703552908467902,1.91164064790442,2.71712422036223
"ZFP36L1",0.717883332488756,1.94854656699106,2.71429420186682
"EIF1",0.887598274585321,2.39812642966245,2.70181510974977
"CFL1",0.530663253424833,1.41982357369987,2.67556414456156
"CALM2",0.597041533534283,1.58909160935743,2.6616098212641
"NUCKS1",0.564403051906023,1.47948697067068,2.62133056452186
"MT-ND4",1.57301417550255,4.08294503112557,2.59561871387531
"EIF1AX",0.513356633465262,1.31172006002625,2.55518283882273
"PSAP",0.564403051906023,1.44010947939249,2.55156217623053
"BTG1",0.659286666013216,1.67206203977275,2.53616844685167
"JUNB",1.2798371326043,3.15543912367479,2.46550052603482
"CCN1",0.703552908467902,1.71872898272702,2.44292783391348
"SERPINH1",0.547675442666679,1.33429591103331,2.43628946468096
"HSPA1B",0.786607918385417,1.89902966321342,2.41420105090137
"ITM2B",0.887598274585321,2.12522197806064,2.39435118218715
"HLA-B",0.786607918385417,1.84693251536455,2.34797091689026
"DCN",1.47119872294798,3.37800663581686,2.29609133227633
"SAT1",0.628648328674159,1.44010947939249,2.29080300337349
"SOCS3",0.75968215856892,1.73381290749476,2.28228725387061
"GSN",1.19524357648009,2.71279718818686,2.26966054582436
"MT-CO1",1.9218851619872,4.3152500142389,2.24532146851948
"FBLN1",0.812827650457988,1.73381290749476,2.1330633948265
"B2M",1.47119872294798,3.13352420083049,2.12991226266942
"TSC22D1",0.732011293423023,1.55387484264139,2.12274708956358
"RGS16",0.773235660307409,1.62311023061438,2.09911455709259
"COL15A1",0.911329022225207,1.91164064790442,2.09764048031384
"EIF4A1",0.812827650457988,1.70341404413052,2.09566449070812
"PMP22",0.628648328674159,1.31172006002625,2.0865720947556
"EEF1D",0.745942432539925,1.55387484264139,2.08310289756606
"IGFBP3",0.659286666013216,1.35637332493167,2.05733468437003
"GLUL",0.75968215856892,1.55387484264139,2.04542758456848
"RHOB",0.899534040301519,1.83347281851397,2.03824728845103
"HSPA8",0.990214004607321,2.00718206963269,2.02701846297221
"HMGB1",0.979318609256009,1.98413877898796,2.02604010608489
"TSC22D3",0.887598274585321,1.79197136506086,2.01889910826838
"ADH1B",0.703552908467902,1.41982357369987,2.01807647528849
"COL6A1",1.22138138453415,2.41341759818941,1.97597378570651
"VIM",1.42317285571784,2.78336477376043,1.95574610812578
"COL6A2",1.26348123802483,2.46516717214656,1.95109123741347
"PTMA",1.35029828443664,2.6122974379947,1.93460768491206
"LGALS3",0.825684140248442,1.58909160935743,1.92457567233795
"HSPE1",0.863290661381749,1.65600955773634,1.91825260229943
"YBX1",0.745942432539925,1.41982357369987,1.90339563988254
"TXNIP",1.21274446941074,2.30111754214045,1.89744632952937
"HNRNPA1",0.850911630573198,1.58909160935743,1.86751661660444
"TMBIM6",0.786607918385417,1.4599920358628,1.85606069013335
"C1S",0.968303195415597,1.79197136506086,1.85063043636011
"JUND",1.05320526660166,1.93639530625983,1.83857351236756
"PHLDA1",1.03264592366265,1.84693251536455,1.78854384939006
"SERPING1",0.825684140248442,1.44010947939249,1.74414089988354
"CCNI",0.838377436584845,1.4599920358628,1.74144958124126
"DNAJB1",1.40901661447864,2.41341759818941,1.71283828266454
"KLF6",1.19524357648009,2.02970630531802,1.69815286629305
"JUN",2.03858496896989,3.46120384211813,1.69784624864918
"SPARC",1.76008115076334,2.95621008239318,1.67958737647471
"C7",1.47787508174537,2.46516717214656,1.66804840449384
"HSP90AB1",1.47119872294798,2.45065281326372,1.66575240654989
"MT-ND5",1.7243234343427,2.83941697974514,1.64668467828804
"EEF2",0.899534040301519,1.47948697067068,1.64472594074901
"COL1A2",2.1082656346386,3.46386131902737,1.64299093155837
"FOS",2.03477954027831,3.23526031708761,1.58998075862563
"SPARCL1",1.43713149188223,2.28399339620785,1.58927238677128
"HSP90B1",1.07335042404522,1.70341404413052,1.58700644819306
"SEPTIN7",0.911329022225207,1.44010947939249,1.58023002041145
"SRPX",0.990214004607321,1.55387484264139,1.56923133323851
"IGFBP5",1.64872728291264,2.58710671322051,1.56915381945408
"NPM1",0.922986502800709,1.44010947939249,1.56027143953094
"PNRC1",1.42317285571784,2.2124045669144,1.55455787259129
"CPE",1.02220554101097,1.57163824557113,1.53749728652103
"CDKN1A",0.979318609256009,1.49860910905648,1.53025695099879
"HNRNPK",0.957165089474419,1.4599920358628,1.52532938352827
"IGFBP7",2.2092654168502,3.36637173172066,1.52375160813415
"EIF5",1.08327283346929,1.63969518378979,1.51364931633936
"COL3A1",2.40099829337044,3.59546774233365,1.49748867055064
"SERPINE2",1.05320526660166,1.53579018607018,1.45820594975342
"COL1A1",2.40099829337044,3.48487066064366,1.45142571332348
"PPP1R15A",1.13145969537305,1.62311023061438,1.43452766126082
"MORF4L1",0.979318609256009,1.39911761416184,1.42866438045608
"DDX17",1.0429784300244,1.47948697067068,1.41852115832929
"SKP1",0.957165089474419,1.31172006002625,1.37042196215756
"ATF3",1.56694556234023,2.13529286088566,1.36271030226257
"EGR1",2.0611183578131,2.77810981807951,1.34786525361268
"TM9SF3",1.10282708626377,1.47948697067068,1.34154029140051
"RND3",1.22994434166778,1.63969518378979,1.33314584102757
"HSP90AA1",2.61656180112448,3.48487066064366,1.33185107997297
"HLA-E",1.303880065719,1.71872898272702,1.31816493549907
"SRSF3",1.06332857288673,1.39911761416184,1.31579048079515
"ITGB1",1.44403841712104,1.84693251536455,1.27900511057507
"CCDC80",1.46447749062423,1.86021345216899,1.27022331451204
"DDX5",1.7897447700068,2.22163849865257,1.24131582105091
"PXDN",1.07335042404522,1.31172006002625,1.2220799755989
"VCAN",1.303880065719,1.58909160935743,1.21874062740667
"CD59",1.10282708626377,1.33429591103331,1.20988677885463
